developer,genre,type,rating
Rock Pocket Games,"['Action', 'Platformer', '2D']",singleplayer,E
Telltale Games,"['Adventure', 'Point-and-Click']",singleplayer,M
Anima Project,"['Role-Playing', 'Action RPG']",NaN,T
Maxis,"['Simulation', 'Virtual', 'Virtual Life']",NaN,T
Eighting,"['Action', 'Fighting', '3D']",NaN,T
Ubisoft Quebec,"['Action Adventure', 'Open-World']",NaN,NaN
Ultra Ultra,"['Action Adventure', 'General']",singleplayer,NaN
Rainbow Studios,"['Action', 'Action Adventure', 'Platformer', 'Linear', '3D']",singleplayer,T
K-D Lab,"['Strategy', 'Real-Time', 'Sci-Fi', 'General']",multiplayer,E10+
Ankama Games,"['Role-Playing', 'Massively Multiplayer Online', 'Massively Multiplayer', 'Fantasy']",multiplayer,NaN
Traveller's Tales,"['Action Adventure', 'Historic', 'General']",singleplayer,E10+
Headstrong Games,"['Miscellaneous', 'Edutainment', 'Application']",NaN,E
Stardock,"['Strategy', 'General']",multiplayer,T
Visual Concepts,"['Sports', 'Traditional', 'Team', 'Baseball', 'Sim']",multiplayer,E
Teku Studios ,"['Action', 'Platformer', '2D']",singleplayer,E10+
Baroque Decay,"['Action Adventure', 'General']",singleplayer,T
Colossal Order,"['Simulation', 'General']",NaN,NaN
Gearbox Software,"['Action', 'Shooter', 'First-Person', 'Arcade']",singleplayer,M
Ryu ga Gotoku Studios,"['Action', 'Role-Playing', 'General', 'Action RPG']",singleplayer,M
Codemasters,"['Driving', 'Racing', 'Simulation', 'Formula One', 'Automobile']",NaN,E
Shift,"['Miscellaneous', 'Puzzle', 'General']",multiplayer,E
Arxel Tribe,"['Strategy', 'Real-Time', 'Sci-Fi', 'General']",multiplayer,T
From Software,"['Role-Playing', 'Console-style RPG']",multiplayer,T
Lionhead Studios,"['Strategy', 'Real-Time', 'Fantasy', 'General']",multiplayer,T
Matrix Software,"['Role-Playing', 'Console-style RPG', 'Japanese-Style']",singleplayer,E10+
Solar Sail Games,"['Action Adventure', 'General']",singleplayer,E10+
Pentadimensional Games,"['Action', 'General']",singleplayer,T
Silver Wish Games,"['Adventure', 'General']",singleplayer,E
Supermassive Games,"['Action', 'Shooter', 'Rail']",NaN,M
Ubisoft,"['Sports', 'Alternative', 'Individual', 'Snowboarding', 'Ski / Snowboard']",NaN,E
Sonic Team,"['Miscellaneous', 'Party']",singleplayer,T
Narcosis Team,"['Action Adventure', 'Horror', 'Survival']",singleplayer,NaN
Sandlot,"['Action', 'Shooter', 'Third-Person', 'Arcade']",multiplayer,T
High Impact Games,"['Action', 'Platformer', '3D']",singleplayer,E10+
Square Enix,"['Role-Playing', 'Action RPG']",singleplayer,T
SCEI,"['Action', 'General']",NaN,E10+
Team Ninja,"['Action Adventure', 'Fantasy', 'General']",singleplayer,M
Banpresto,"['Strategy', 'Turn-Based', 'Sci-Fi']",singleplayer,T
Spike Chunsoft,"['Action Adventure', 'General']",singleplayer,M
EA Tiburon,"['Driving', 'Racing', 'Stock Car']",multiplayer,E
Carbonated Games,"['Miscellaneous', 'Puzzle', 'General']",multiplayer,E
SCEE London Studio,"['Miscellaneous', 'General']",singleplayer,E10+
Red Rocket Games,"['Action', 'Miscellaneous', 'Rhythm', 'Music']",singleplayer,NaN
NetDevil,"['Role-Playing', 'Massively Multiplayer Online', 'Massively Multiplayer', 'Sci-Fi']",multiplayer,T
Artifact Entertainment,"['Role-Playing', 'Massively Multiplayer Online', 'Massively Multiplayer', 'Fantasy']",multiplayer,T
Cattle Call,"['Role-Playing', 'Console-style RPG']",singleplayer,T
T&E Soft,"['Sports', 'Traditional', 'Golf', 'Arcade']",multiplayer,E
Crawfish Interactive,"['Strategy', 'Turn-Based', 'Fantasy']",singleplayer,E
Paradox Development,"['Action', 'Fighting', '3D']",multiplayer,T
Funcom,"['Role-Playing', 'Massively Multiplayer Online', 'Massively Multiplayer', 'Sci-Fi']",multiplayer,T
Game Titan,"['Action', 'Platformer', '2D']",singleplayer,E
Omni Creative Group,"['Adventure', 'General']",singleplayer,E
Mimimi Productions,"['Action', 'Platformer', '3D']",NaN,E10+
Brendon Chung,"['Strategy', 'Turn-Based', 'Sci-Fi', 'General']",NaN,NaN
"Camouflaj, LLC","['Action Adventure', 'Linear']",NaN,M
Wonderboy Bobi,"['Action', 'Platformer', '2D']",singleplayer,E10+
Morgondag,"['Action', 'Puzzle']",NaN,NaN
Electronic Arts,"['Miscellaneous', 'Board Games', 'Board / Card Game']",NaN,E
EA Canada,"['Driving', 'Racing', 'Simulation', 'GT / Street', 'Automobile']",multiplayer,E10+
SCEE London Studio,"['Sports', 'Traditional', 'Team', 'Soccer', 'Sim']",multiplayer,E
Red Fly Studio,"['Action', 'Platformer', '3D']",multiplayer,E10+
VD-DEV,"['Racing', 'Arcade', 'Futuristic']",singleplayer,E
Ubisoft Montreal,"['Action', 'Shooter', 'First-Person', 'Arcade']",NaN,M
inbetweengames,"['Strategy', 'Real-Time', 'General', 'Tactics']",singleplayer,NaN
Marvelous Inc.,"['Action', ""Beat-'Em-Up"", '2D', '3D']",multiplayer,M
Ubisoft Quebec,"['Action Adventure', 'Open-World']",NaN,M
Mebius,"['Action', 'Shooter', 'Scrolling', ""Shoot-'Em-Up"", 'Vertical', 'Horizontal']",NaN,E
Crawfish Interactive,"['Action', 'Shooter', 'Rail']",NaN,E
Exient Entertainment,"['Sports', 'Alternative', 'Individual', 'Skateboarding', 'Skate / Skateboard']",multiplayer,E
TimeGate Studios,"['Action', 'Shooter', 'First-Person', 'Sci-Fi', 'Arcade']",multiplayer,T
SouthPeak Games,"['Miscellaneous', 'Puzzle', 'General']",NaN,E
Arika,"['Miscellaneous', 'Puzzle', 'Matching']",multiplayer,E
XDEV,"['Miscellaneous', 'Puzzle', 'Logic']",NaN,E
Bishop Games,"['Action', 'Platformer', '2D']",singleplayer,E10+
"Lion Shield, LLC","['Strategy', 'Real-Time', 'General']",singleplayer,NaN
Atari,"['Role-Playing', 'Action RPG']",multiplayer,T
Seaven Studio,"['Action Adventure', 'Open-World']",singleplayer,E
Idea Factory,"['Adventure', 'Visual Novel']",singleplayer,T
Colossal Order,"['Strategy', 'Management', 'Government']",NaN,E
Kuju Entertainment,"['Simulation', 'Train', 'Vehicle']",singleplayer,E
Spike,"['Action', 'Fighting', '3D']",multiplayer,T
Namco,"['Action', 'Platformer', '3D']",singleplayer,E
Spike Chunsoft,"['Role-Playing', 'General']",singleplayer,M
Capcom Vancouver,"['Action Adventure', 'Open-World']",multiplayer,M
Quantic Dream,"['Miscellaneous', 'Adventure', '3D', 'Compilation', 'Modern', 'Third-Person']",singleplayer,M
Cyan Worlds,"['Adventure', '3D', 'First-Person', 'Fantasy']",singleplayer,E
High Voltage Software,"['Action', ""Beat-'Em-Up""]",multiplayer,M
Digital Eclipse,"['Action', 'Platformer', '2D']",multiplayer,E
Blue Tongue Entertainment,"['Strategy', 'Tycoon', 'Management', 'Business / Tycoon']",singleplayer,T
WayForward,"['Action', 'Platformer', '2D']",NaN,E
Illusion Softworks,"['Action', 'General']",NaN,M
Ganbarion,"['Role-Playing', 'Trainer']",singleplayer,T
White Rabbit Interactive,"['Role-Playing', 'Action RPG']",singleplayer,T
Funomena,"['Action', 'Action Adventure', 'Adventure', 'General', '3D', 'Linear', 'Third-Person']",singleplayer,E10+
Tripwire Interactive,"['Action', 'Shooter', 'First-Person', 'Sci-Fi', 'Arcade']",multiplayer,M
Cyanide,"['Role-Playing', 'Roguelike']",singleplayer,T
GameDesignDan,"['Action', 'Platformer', '2D']",NaN,NaN
Vicarious Visions,"['Action', 'Miscellaneous', 'Rhythm', 'Music']",multiplayer,E10+
Plato,"['Action', 'Miscellaneous', 'Rhythm', 'Music']",singleplayer,E10+
Telltale Games,"['Action', 'Adventure', 'General', '3D', 'Third-Person']",NaN,T
Rocksteady Studios,"['Action Adventure', 'Fantasy', 'Open-World']",NaN,T
Rare Ltd.,"['Action', 'General']",multiplayer,E10+
STELLAR ENTERTAINMENT SOFTWARE LTD,"['Action', 'Strategy', 'General', 'Management', 'Business / Tycoon']",NaN,T
Lichthund,"['Action Adventure', 'General']",singleplayer,NaN
Digital Eclipse,"['Miscellaneous', 'Compilation']",multiplayer,T
Game Freak,"['Action Adventure', 'General']",NaN,E10+
Cape Cosmic,"['Action Adventure', 'General']",singleplayer,E10+
Kojima Productions,"['Action Adventure', 'Open-World']",NaN,NaN
Tecmo,"['Sports', 'Traditional', 'Individual', 'Golf', 'Sim']",singleplayer,E10+
SpikySnail Games Studio,"['Puzzle', 'Miscellaneous', 'Action']",NaN,E
Bright Future GmbH,"['Sports', 'Traditional', 'Team', 'Soccer', 'Management']",NaN,E
Triumph Studios,"['Action Adventure', 'Fantasy', 'General']",multiplayer,T
Gentlymad,"['Strategy', 'Management', 'Government']",singleplayer,NaN
Frontier Developments,"['Strategy', 'Management', 'Business / Tycoon']",singleplayer,NaN
Marvelous First Studio,"['Simulation', 'Vehicle', 'Combat']",multiplayer,NaN
Reinkout Games,"['Action Adventure', 'General']",singleplayer,T
2Awesome Studio,"['Action', 'General', 'Shooter', ""Shoot-'Em-Up"", 'Vertical']",singleplayer,E10+
Level 5,"['Puzzle', 'General']",singleplayer,E10+
Sandbox Interactive,"['Role-Playing', 'Massively Multiplayer Online', 'Massively Multiplayer', 'Historic']",multiplayer,NaN
Creative Assembly,"['Strategy', 'Turn-Based', 'General']",NaN,NaN
COWCAT,"['Adventure', 'Point-and-Click']",singleplayer,NaN
Double Eleven,"['Strategy', 'Real-Time', 'Fantasy', 'Defense']",NaN,E
Alien After All,"['Action', 'Platformer', '2D']",singleplayer,E
EA LA,"['Strategy', 'Real-Time', 'Sci-Fi', 'General']",NaN,T
Neon Studios,"['Action Adventure', 'Fantasy']",singleplayer,E10+
Codemasters,"['Driving', 'Racing', 'Formula One']",multiplayer,E
Acclaim,"['Sports', 'Traditional', 'Baseball', 'Sim']",multiplayer,E
Egosoft,"['Simulation', 'Sci-Fi', 'Space', 'Small Spaceship', 'Combat']",singleplayer,T
Hasbro Interactive,"['Action', 'General', 'Platformer', '3D']",multiplayer,E
Nintendo,"['Simulation', 'Miscellaneous', 'Virtual Life', 'Virtual', 'Pet']",NaN,E
ChunSoft,"['Role-Playing', 'General', 'Roguelike']",singleplayer,T
Red Thread Games,"['Adventure', '3D', 'Third-Person']",NaN,NaN
Deadline Games,"['Action', 'Shooter', 'Third-Person', 'Modern']",singleplayer,M
3D People,"['Role-Playing', 'PC-style RPG', 'Western-Style']",singleplayer,M
Geeta Games,"['Adventure', 'General', 'Point-and-Click']",NaN,NaN
Shaba Games,"['Action', ""Beat-'Em-Up""]",multiplayer,E10+
Armature Studio,"['Adventure', 'General']",singleplayer,NaN
Brightside Games,"['Action', 'Shooter', 'Scrolling', ""Shoot-'Em-Up"", 'Vertical']",multiplayer,E
13AM Games,"['Action', 'Platformer', '2D']",multiplayer,E
Mana Games,"['Role-Playing', 'Western-Style']",singleplayer,NaN
Milestone S.r.l,"['Driving', 'Racing', 'Simulation', 'Motorcycle', 'Automobile', 'Street']",multiplayer,E10+
Insomniac Games,"['Action Adventure', 'General']",singleplayer,E
NaN,"['Action', 'Shooter', 'First-Person', 'Arcade']",NaN,NaN
Omega Force,"['General', 'Action']",multiplayer,T
Green Lava Studios,"['Action', 'Platformer', '2D']",NaN,E
Telltale Games,"['Adventure', 'Point-and-Click']",NaN,NaN
Team17,"['Strategy', 'Turn-Based', 'Fantasy', 'Artillery']",multiplayer,T
1C:Ino-Co,"['Strategy', 'Turn-Based', 'Fantasy', 'General']",NaN,T
The Bearded Ladies Consulting,"['Strategy', 'Turn-Based', 'Tactics']",NaN,M
Codemasters,"['Sports', 'Alternative', 'Team', 'Cricket']",NaN,NaN
JoWooD Entertainment AG,"['Strategy', 'Tycoon', 'Management', 'Business / Tycoon']",singleplayer,E
Black Ops Entertainment,"['Sports', 'Traditional', 'Basketball', 'Sim']",NaN,E
Rare Ltd.,"['Driving', 'Racing', 'Kart']",NaN,E
Digital Illusions,"['Action', 'Shooter', 'First-Person', 'Tactical', 'Modern']",multiplayer,T
Compile Heart,"['Role-Playing', 'Japanese-Style']",singleplayer,M
Darkling Room,"['Action Adventure', 'Horror', 'Survival']",singleplayer,T
Sonic Team,"['Role-Playing', 'Action RPG']",multiplayer,E10+
Limbic Entertainment,"['Fantasy', 'Strategy', 'Turn-Based', 'General']",NaN,NaN
Telltale Games,"['Action', 'Adventure', 'General', '3D', 'Third-Person']",singleplayer,T
ZeniMax Media,"['First-Person', 'Role-Playing', 'Massively Multiplayer Online', 'Massively Multiplayer', 'Fantasy']",multiplayer,M
Midway Studios - San Diego,"['Miscellaneous', 'Puzzle', 'General']",singleplayer,E10+
Proxy Studios,"['Strategy', 'Real-Time', 'General']",multiplayer,NaN
Lince Works,"['Action Adventure', 'General']",multiplayer,M
Artefacts Studio,"['Role-Playing', 'General']",singleplayer,M
Capcom,"['Action', 'Platformer', '2D']",NaN,NaN
Noise Factory,"['Action', 'Miscellaneous', 'Rhythm', 'Music']",singleplayer,E
Ubisoft Paris,"['Action', 'Shooter', 'Third-Person', 'Tactical', 'Modern']",NaN,M
Zipper Interactive,"['Action', 'Shooter', 'Third-Person', 'Modern', 'Arcade']",multiplayer,T
Shin'en,"['Action', 'Shooter', 'Scrolling', ""Shoot-'Em-Up"", 'Top-Down']",NaN,E
Omega Force,"['Action', ""Beat-'Em-Up""]",multiplayer,T
Eighting/Raizing,"['Action', 'Fighting', '3D']",multiplayer,T
Impulse Gear,"['Action', 'Shooter', 'First-Person', 'Light Gun', 'Arcade']",multiplayer,M
Skrollcat Studios,"['Action', 'Platformer', '2D']",singleplayer,E
imaginarylab,"['Adventure', 'Point-and-Click']",singleplayer,NaN
Bandai Namco Games,"['Action', 'Strategy', 'Turn-Based', 'General', 'Tactics']",singleplayer,T
Traxmaster Software,"['Action', 'Platformer', '2D']",singleplayer,E
Melbot Studios,"['Puzzle', 'Action']",multiplayer,E
MuHa Games,"['Strategy', 'Turn-Based', '4X']",singleplayer,T
Arc System Works,"['Action Adventure', 'Sandbox']",singleplayer,E
Lozange Lab,"['Strategy', 'General']",singleplayer,E
SquareSoft,"['Role-Playing', 'Japanese-Style']",singleplayer,T
Humble Hearts,"['Action Adventure', 'General']",singleplayer,E10+
Capcom,"['Action Adventure', 'Survival']",NaN,M
LucasArts,"['Simulation', 'Sci-Fi', 'Space', 'Small Spaceship', 'Combat']",singleplayer,T
Lancarse,"['Adventure', 'General']",singleplayer,T
Weather Factory,"['Strategy', 'Turn-Based', 'Card Battle']",singleplayer,NaN
Namco,"['Miscellaneous', 'General']",singleplayer,E
iNiS,"['Action', 'Miscellaneous', 'Rhythm', 'Music']",singleplayer,T
Panic Barn Ltd,"['Simulation', 'Strategy', 'General', 'Virtual', 'Career']",singleplayer,NaN
team ok,"['Action', 'General']",NaN,E10+
Sigtrap Games,"['Simulation', 'Space', 'Combat']",singleplayer,NaN
Bec,"['Role-Playing', 'General', 'Trainer']",multiplayer,E10+
KING Art,"['Strategy', 'Turn-Based', 'Sci-Fi', 'General', 'Tactics']",NaN,NaN
Project Aces ,"['Action', 'Simulation', 'Flight', 'Combat']",multiplayer,T
Cranberry Studios,"['Adventure', '3D', 'Modern', 'Third-Person']",NaN,T
Ninai Games,"['Action', 'General']",NaN,E
Double Fine Productions,"['Action', 'General']",singleplayer,E10+
Paintbucket Games,"['Strategy', 'General']",singleplayer,NaN
Shift,"['Role-Playing', 'Action Adventure', 'Action RPG', 'Sci-Fi']",multiplayer,T
Digital Eclipse,"['Action', 'General', 'Arcade']",multiplayer,E
Koei,"['Strategy', 'Turn-Based', 'Historic']",singleplayer,T
Hothead Games,"['Miscellaneous', 'General']",NaN,T
Crytek,"['Action Adventure', 'General']",NaN,NaN
Backbone Entertainment,"['Action', 'Platformer', '3D']",multiplayer,T
Electronic Arts,"['Action Adventure', 'Modern']",multiplayer,T
Playmind,"['Action Adventure', 'General']",singleplayer,T
Cyanide,"['Strategy', 'Turn-Based', 'Tactics']",multiplayer,M
Telltale Games,"['Adventure', 'Point-and-Click']",singleplayer,M
Perfect Hat,"['Puzzle', 'Action']",singleplayer,E
Cyanide,"['Sports', 'Individual', 'Biking']",multiplayer,NaN
Urban Games,"['Strategy', 'Management', 'Business / Tycoon']",singleplayer,NaN
Rebellion,"['Action', 'Shooter', 'Third-Person', 'Sci-Fi']",multiplayer,T
Insomniac Games,"['Action Adventure', 'General']",NaN,NaN
Page 44 Studios,"['Miscellaneous', 'Party', 'Board Games', 'Board / Card Game']",NaN,E
Monolith Productions,"['Action', 'Adventure', 'Shooter', 'First-Person', 'Fantasy', 'Arcade']",NaN,T
Monster Games Inc.,"['Simulation', 'Flight', 'Civilian Plane', 'Civilian']",NaN,E
Halfbrick Studios,"['Action', 'General', 'Arcade']",NaN,E
Matt Bitner,"['Action', 'Platformer', '2D']",singleplayer,T
Chainsawesome Games,"['Action', 'General']",NaN,E10+
SuperVillain Studios,"['Miscellaneous', 'General']",multiplayer,E
Sabarasa Entertainment,"['Miscellaneous', 'Puzzle', 'General']",singleplayer,E
Microids,"['Adventure', 'First-Person', 'Point-and-Click', 'Modern']",singleplayer,M
Artoon,"['Action', 'Platformer', '3D']",singleplayer,E
Object,"['Strategy', 'Real-Time', 'Fantasy', 'General']",multiplayer,T
Akella,"['Simulation', 'Ship', 'Marine', 'Combat', 'Civilian']",singleplayer,T
Circus Freak,"['Driving', 'Racing', 'Kart']",NaN,E
HexaDrive,"['Action', 'Shooter', 'Third-Person', 'Sci-Fi', 'Arcade']",singleplayer,M
Capcom,"['Action Adventure', 'Horror', 'Survival']",singleplayer,M
Flow Fire Games,"['Action', 'General']",singleplayer,NaN
Compile Heart,"['Role-Playing', 'Japanese-Style']",singleplayer,T
Unfinished Pixel,"['Puzzle', 'Action', 'General']",NaN,E
Gust,"['Role-Playing', 'Console-style RPG']",singleplayer,T
2015,"['Action', 'Shooter', 'First-Person', 'Historic', 'Arcade']",multiplayer,M
24 Entertainment,"['Action', ""Beat-'Em-Up"", '3D']",multiplayer,NaN
nDreams,"['Action Adventure', 'General']",singleplayer,T
Gunfire Games,"['Action Adventure', 'General']",singleplayer,NaN
Gamera Interactive,"['Puzzle', 'Action']",singleplayer,E
Cosmic Picnic,"['Action', 'General', 'Action Adventure', 'Open-World']",NaN,E
Frontier Developments,"['Strategy', 'Tycoon', 'Management', 'Business / Tycoon']",NaN,E
Harmonix Music Systems,"['Sports', 'Alternative', 'Other']",multiplayer,E
Telltale Games,"['Action Adventure', 'Adventure', 'Sci-Fi', '3D', 'Third-Person']",NaN,RP
NEOPOPCORN Corp,"['Action', 'Action Adventure', 'General', 'Platformer', '2D']",singleplayer,E10+
Media.Vision,"['Role-Playing', 'Strategy', 'Turn-Based', 'Japanese-Style', 'Tactics']",singleplayer,T
BarkersCrest Studios,"['Sports', 'Traditional', 'Golf', 'Arcade']",NaN,NaN
From Software,"['Simulation', 'Sci-Fi', 'Vehicle', 'Mech', 'Combat']",multiplayer,T
Brainseed Factory,"['Action', 'Platformer', '3D']",singleplayer,NaN
Arrowhead Game Studios,"['Role-Playing', 'Western-Style']",multiplayer,M
Creatures Inc.,"['Adventure', '3D', 'Third-Person']",singleplayer,E
David OReilly,"['Adventure', 'General']",singleplayer,E
CyberConnect2,"['Fighting', '3D', 'Action']",NaN,T
"Massive Damage, Inc.","['Strategy', 'Turn-Based', 'Tactics']",singleplayer,NaN
Paradigm Entertainment,"['Driving', 'Mission-based']",multiplayer,T
AGEOD,"['Strategy', 'Turn-Based', 'Historic', 'General']",singleplayer,E
Lionhead Studios,"['Strategy', 'Real-Time', 'Fantasy', 'General']",singleplayer,T
Starfire Studios,"['Action', 'Shooter', 'Static', ""Shoot-'Em-Up"", 'Top-Down']",NaN,T
Aki Corp.,"['Strategy', 'City Building', 'Management', 'Modern', 'Government']",multiplayer,E
Sileni Studios,"['Strategy', 'General']",singleplayer,NaN
Ovosonico,"['Action Adventure', 'Fantasy', 'Action', 'Platformer', '2D']",NaN,E
Konami,"['Simulation', 'Miscellaneous', 'Virtual Life', 'Virtual']",multiplayer,E10+
Digerati Distribution,"['Action', 'Platformer', '2D']",NaN,E
Game Freak,"['Role-Playing', 'Trainer']",NaN,E
Harmonix Music Systems,"['Miscellaneous', 'Rhythm', 'Music']",multiplayer,T
Dimps Corporation,"['Strategy', 'Turn-Based', 'Card Battle']",singleplayer,T
Weappy Studio,"['Strategy', 'Turn-Based', 'Tactics']",singleplayer,NaN
Acclaim,"['Action', 'Action Adventure', ""Beat-'Em-Up"", 'Linear', '2D']",singleplayer,M
Konami,"['Driving', 'Racing', 'Motorcycle', 'Motocross']",NaN,E
Titus Software,"['Action', 'Platformer', '2D']",singleplayer,E
Studio 33,"['Driving', 'Demolition Derby']",NaN,E
WARP,"['Action Adventure', 'Horror']",singleplayer,M
Sandlot,"['Action', 'Shooter', 'Third-Person', 'Sci-Fi', 'Arcade']",singleplayer,T
CyberConnect2,"['Role-Playing', 'Action RPG']",singleplayer,T
"Seed Studios, Lda","['Strategy', 'Real-Time', 'Fantasy', 'General']",multiplayer,E10+
Pandemic Studios,"['Shooter', 'Sci-Fi', 'Action', 'First-Person', 'Arcade']",multiplayer,T
Kerberos Productions,"['Role-Playing', 'Action RPG', 'Roguelike']",NaN,T
Ganbarion,"['Action', 'Fighting', '3D']",multiplayer,T
Koei Tecmo Games,"['Strategy', 'General']",NaN,M
Felistella,"['Role-Playing', 'General', 'Japanese-Style']",singleplayer,T
Adventure Planning Service,"['Action', 'Shooter', 'Scrolling', ""Shoot-'Em-Up"", 'Vertical', 'Horizontal']",NaN,T
Grimorio of Games,"['Role-Playing', 'Roguelike']",multiplayer,NaN
EA Canada,"['Sports', 'Traditional', 'Team', 'Basketball', 'Sim']",multiplayer,E
Lillymo Games,"['Action', 'Arcade']",singleplayer,E
Nintendo,"['Puzzle', 'Stacking']",NaN,E
Artificial Mind and Movement,"['Action', 'Shooter', 'Third-Person', 'Modern', 'Arcade']",singleplayer,M
Pill Bug Interactive,"['Action', 'Shooter', ""Shoot-'Em-Up"", 'Top-Down']",singleplayer,E10+
id Software,"['Action', 'Shooter', 'First-Person', 'Light Gun', 'Arcade']",singleplayer,M
NaN,"['Action', ""Beat-'Em-Up"", '2D']",singleplayer,E10+
Tamsoft,"['Sports', 'Team', 'Soccer', 'Arcade']",multiplayer,E10+
Climax Studios,"['Action', 'Shooter', ""Shoot-'Em-Up"", 'Top-Down']",multiplayer,E10+
High Voltage Software,"['Action', 'Shooter', 'First-Person', 'Sci-Fi', 'Arcade']",multiplayer,T
Foregone,"['Action', 'Shooter', 'First-Person', 'Arcade']",singleplayer,NaN
Virtual Toys,"['Sports', 'Traditional', 'Team', 'Basketball', 'Arcade']",multiplayer,E10+
Griptonite Games,"['Action Adventure', 'Historic', 'General']",NaN,T
Mark Healey,"['Action', 'Fighting', '2D']",multiplayer,T
Electronic Arts,"['Sports', 'Alternative', 'Team', 'Individual', 'Other']",multiplayer,E
4X Studios,"['Action', 'Shooter', 'First-Person', 'Historic', 'Arcade']",multiplayer,M
Konami,"['Action', 'Platformer', '2D']",singleplayer,T
Innerloop,"['Sports', 'Alternative', 'Other']",NaN,E
SCEA,"['Sports', 'General']",singleplayer,E10+
Robotality,"['Strategy', 'Turn-Based', 'Tactics']",singleplayer,E10+
BioWare,"['Role-Playing', 'PC-style RPG', 'Western-Style']",NaN,M
Namco,"['Miscellaneous', 'Rhythm', 'Music']",multiplayer,T
EA Games,"['Driving', 'Racing', 'Simulation', 'Stock Car', 'Automobile']",multiplayer,E
ApolloSoft,"['Role-Playing', 'Action RPG']",NaN,T
Nintendo,"['Miscellaneous', 'Party / Minigame']",singleplayer,E
Shaba Games,"['Action', ""Beat-'Em-Up"", 'Fighting', '2D', '3D']",multiplayer,E10+
Kevin Zuhn,"['Modern', 'Adventure', '3D', 'Third-Person']",singleplayer,E10+
Paradox North,"['Action Adventure', 'Fantasy', 'General']",NaN,NaN
Nippon Ichi Software,"['Miscellaneous', 'Compilation']",singleplayer,NaN
High Voltage Software,"['Action', 'Shooter', 'Static', ""Shoot-'Em-Up"", 'Top-Down']",multiplayer,E
SCEA San Diego Studios,"['Sports', 'Traditional', 'Team', 'Basketball', 'Sim']",NaN,E
PlatinumGames,"['Action', 'Third-Person', 'Shooter', 'Modern', 'Rail', 'Simulation', 'Space', 'Combat']",NaN,E10+
Abstraction Games,"['Action', 'First-Person', 'Sci-Fi', 'Shooter', 'Miscellaneous', 'Compilation']",NaN,M
WayForward,"['Action', 'Action Adventure', 'Shooter', 'Platformer', 'Fantasy', 'General', '2D', 'Third-Person']",singleplayer,T
Omega Force,"['Action', 'Miscellaneous', ""Beat-'Em-Up"", 'Compilation', '3D']",multiplayer,T
Banpresto,"['Role-Playing', 'Console-style RPG', 'Japanese-Style']",NaN,T
Monte Cristo Multimedia,"['Strategy', 'City Building', 'Management', 'Modern', 'Government']",NaN,E
Petroglyph,"['Strategy', 'Real-Time', 'Command']",multiplayer,E10+
Fatshark AB,"['Action', 'Strategy', 'Real-Time', 'General', 'MOBA']",NaN,NaN
Wonderstruck Games,"['Adventure', 'General']",NaN,NaN
Benjamin Rivers,"['Action Adventure', 'Adventure', 'Horror', 'General']",singleplayer,NaN
Prope,"['Sports', 'Individual', 'Nature', 'Fishing']",NaN,E
Argonaut Games,"['Driving', 'Racing', 'Futuristic']",multiplayer,T
Sonic Team,"['Action', 'Fighting', '2D']",multiplayer,E
Acclaim Studios Cheltenham,"['Driving', 'Racing', 'Futuristic']",multiplayer,T
Eden Studios,"['Action Adventure', 'Fantasy']",singleplayer,T
Ubisoft Romania,"['Driving', 'Racing', 'Futuristic']",NaN,E
Ellipse Studios,"['Strategy', 'Real-Time', 'General', 'Command']",multiplayer,E
Jupiter Corporation,"['Role-Playing', 'Action RPG']",singleplayer,E10+
Zojoi Studios,"['Action', 'Adventure', 'General', 'Point-and-Click']",singleplayer,NaN
NinjaBee,"['Strategy', 'Turn-Based', 'General', 'Tactics']",multiplayer,E
HD Interactive,"['Strategy', 'Real-Time', 'Modern', 'Tactics']",multiplayer,T
People Can Fly,"['Action', 'Shooter', 'First-Person', 'Fantasy']",multiplayer,M
Boneloaf,"['Action', 'Miscellaneous', 'General', 'Party / Minigame']",multiplayer,E10+
Skip Ltd.,"['Miscellaneous', 'Puzzle', 'General']",singleplayer,E
Creatures Inc.,"['Role-Playing', 'General']",NaN,E
Playbrains,"['Action', 'General']",multiplayer,E10+
Milestone S.r.l,"['Racing', 'Arcade', 'Automobile']",multiplayer,E
Irrational Games,"['Action', 'Shooter', 'First-Person', 'Sci-Fi', 'Arcade']",NaN,RP
Treyarch,"['Action', 'Shooter', 'First-Person', 'Arcade']",NaN,M
DESTINYbit,"['Strategy', 'Real-Time', 'General']",multiplayer,NaN
Tri-Ace,"['Role-Playing', 'Japanese-Style']",NaN,T
EA Canada,"['Sports', 'Traditional', 'Team', 'Basketball', 'Sim']",multiplayer,E
Hermes Interactive,"['Strategy', 'Management', 'Business / Tycoon']",singleplayer,E
Digital Dreams,"['General', 'Miscellaneous', 'Puzzle', 'Action']",NaN,E
Nintendo,"['Action', 'Shooter', 'Light Gun']",singleplayer,T
All in! Games,"['Simulation', 'Flight', 'Combat']",singleplayer,E10+
Infinity Ward,"['Action', 'Shooter', 'First-Person', 'Modern', 'Arcade']",multiplayer,M
Playmestudio,"['Adventure', 'General', '3D', 'First-Person']",singleplayer,NaN
Daedalic Entertainment,"['General', 'Role-Playing', 'Strategy', 'Turn-Based', 'Tactics']",singleplayer,NaN
AREA35,"['Strategy', 'Turn-Based', 'Tactics']",singleplayer,E10+
"GungHo Online Entertainment America, Inc.","['Action', 'General']",multiplayer,E10+
