name_game,meta_score,user_score,platform,description
Monster Hunter Tri,84.0,85.0,['wii'],"Monster Hunter Tri sets a new bar in the action/adventure genre with the introduction of new features and game play elements as the multi-million unit selling franchise makes its debut on the Wii system. Monster Hunter Tri depicts a living, breathing ecosystem where man co-exists with fantastic beasts that roam both the land and the sea. Featuring both online and offline cooperative modes, players can join online hunting parties with up to four players or play with two players on a single TV for select quests. Players also have the option to face Monster Hunter Tri's challenging quests as a single player experience accompanied by Cha-Cha, an AI hunting partner whose tracking and trapping skills prove invaluable in the hunt. New items, weapons and armor sets will also be available to assist the hunters as they embark on the most incredible Monster Hunter adventure to date. [Capcom]"
Return to Castle Wolfenstein: Tides of War,84.0,87.0,['xbox'],"You are U.S. Army Ranger B.J. Blazkowicz.  As World War II rages across Europe, the Office of Secret Actions has assigned you to investigate strange rumors of occult activity and genetic engineering.  You are about to embark on a journey deep into the heart of the Third Reich to battle the most horrific creatures ever unleashed.  You must face zombies brought back from the dead through dark magic and destroy mutants created through twisted science.  All the while there'll be legions of Nazi soldiers battling to win the war."
Command & Conquer: Red Alert 2,84.0,89.0,['pc'],"Wielding strange new technologies and hungering for revenge, the Soviet Empire invades America. New York City and Washington are overwhelmed. Allied forces, unprepared for the surprise attack, are decimated. Will freedom be crushed under the heels of Communist aggression?  [Electronic Arts]"
Shogun: Total War,84.0,84.0,['pc'],"Japan, 1542. The land is in turmoil. The last Shogunate has collapsed, leaving the nation divided into seven warring factions. Out of this chaos will emerge one warlord who will master the Art Of War.  [Electronic Arts]"
Mega Man X Legacy Collection,84.0,86.0,['switch'],"Mega Man X Legacy Collection includes Mega Man X, X2, X3, and X4"
Rayman Legends: Definitive Edition,84.0,84.0,['switch'],"Rayman, winner of multiple artistic and musical achievements, is coming to Nintendo Switch with Rayman Legends Definitive Edition.

Rayman, Globox, and the Teensies are off wandering through an enchanted forest when they discover a mysterious tent filled with a series of captivating paintings. As they look more closely, they notice each painting seems to tell the story of a mythical world. While focusing on a painting that shows a medieval land, they are suddenly sucked into the painting, entering the world, and the adventure begins. The gang must run, jump, and fight their way through each world to save the day and discover the secrets of every legendary painting.

*    Join the team with up to 4 players in local co-op!
*    Compete with your friends in tournaments with the Kung Foot experience (local wireless multiplayer)
*    Run, jump & smack your way through 100+ maps
*    Jump to the rhythm and rock the party to beat the crazy musical levels"
Inscryption,84.0,87.0,['pc'],"Inscryption is an inky black card-based odyssey that blends the deckbuilding roguelike, escape-room style puzzles, and psychological horror into a blood-laced smoothie. Darker still are the secrets inscrybed upon the cards..."
Guild Wars Factions,84.0,84.0,['pc'],"The stand-alone Guild Wars Factions is the second campaign in ArenaNet's massively multiplayer online role-playing game. The Factions campaign, which can be played either connected with the regular Guild Wars or as its own separate game, includes new regions (with an entire new continent), professions, skills, missions, and monsters, along with expanded options for both Cooperative and Player-versus-Player (PvP) play, and enhanced features for guilds. New content includes a number of the skills added to Guild Wars: Factions, including some of the deadly skills of the Assassin and the arcane spells of the spiritual Ritualist. Factions will also introduce a new PvP continent, Battle Isles. Battle Isles will introduce players to new PvP experiences, new and expanded arenas, new quests and a new explorable area as well. [NCsoft]"
No More Heroes 2: Desperate Struggle,84.0,88.0,['wii'],"No More Heroes 2: Desperate Struggle continues the tale of punk anti-hero Travis Touchdown, the Japanese anime Otaku, and pro wrestling-obsessed assassin. Travis finds himself at the bottom of the UAA (United Assassins Association) rankings and must wage war to become the No. 1 assassin once again. The follow-up to the popular No More Heroes will offer fans infectious, fun gameplay that allows you to wield not just one, but two swords and face multiple bosses simultaneously in bigger-than-ever boss battles. [Ubisoft]"
LEGO Star Wars II: The Original Trilogy,84.0,87.0,['playstation-2'],"LEGO Star Wars II takes the fun and customization ability of the LEGO play pattern and combines it with the epic story, characters and action from the revolutionary Star Wars: Episodes IV, V and VI. With a unique tongue-in-cheek take on the Original Trilogy, LEGO Star Wars II lets you build and battle your way through your favorite film moments. From Darth Vader's pursuit of Princess Leia aboard her Blockade Runner to Luke's final confrontation with Emperor Palpatine. For the first time ever, characters can get in and out of vehicles, as well as ride creatures. Because it's LEGO style, you can also mix and match the body parts of more than 50 playable characters to create one of millions of possible LEGO Star Wars heroes. And on PS2, Xbox and Windows platforms, a game save from the first LEGO Star Wars can unlock another 50-plus additional characters for Free Play mode -- that's more than 100 total characters. Other exciting additions include free-roaming vehicle levels, the ability to switch ships at will in Free Play mode, cool new character-specific attacks and maneuvers, playable mini-kit vehicles, an adaptive difficulty option and more. [LucasArts]"
Colin McRae Rally 04,84.0,82.0,['xbox'],"This year's installment in the Colin McRae Rally series features new championships, new single- and multiplayer modes, and different car-part-testing challenges. You can drive any car from the start in the Open Championship mode; you can compete in a full rally season; or you can specialize in a 4- or 2-wheel-drive championship. You can also put together your favorite or themed stages, which can include straights, jumps, or hills. More than 20 vehicles, which exhibit improved physics and handling, are available for play, including the Citroen Xsara, Mitsubishi EVO 7, and Subaru Impreza."
Skies of Arcadia Legends,84.0,87.0,['gamecube'],"Grasp the wheel of your air-ship and prepare to embark on a legendary adventure. You are Vyse, a young member of the Blue Rogue pirates. Together with your childhood friend Aika and Fina, a mysterious girl, you are locked in an epic struggle with a powerful enemy nation for the fate of the world. You must gather your own crew of air pirates and journey through uncharted skies to vanquish the empire from every corner of the map. Along the way, you'll wage battles against savage monsters and evil pirates as you make a name for yourself on land and in the sky."
Mushihimesama,84.0,84.0,['switch'],"Mushihimesama (Bug Princess in English) is a vertical shooting game set in a beautiful fantasy world. Huge insect-like creatures called Koju roam the forest outside the village of Hoshifuri. When Reco's people fall to a mysterious sickness, the young princess decides to leave the village and meet the God of the Koju, who may provide a cure. Riding her faithful Golden Beetle friend Kiniro, Reco must traverse the wilds, braving the hostile landscape and the aggressive Koju beasts on her journey through the Shinju Forest."
Devil May Cry 3: Dante's Awakening,84.0,91.0,['playstation-2'],"Devil May Cry 3 unfolds an earlier chapter in Dante's history, before the original Devil May Cry, to the fateful clash between Sparda's twin sons, divided by the divergence of their chosen paths. Along the way, Dante encounters formidable foes and unusual characters including a mysterious man named Arkham and a female hunter named Lady whose mission is to take down all demons, including Dante. These precursory events disclose the complex roots of Dante's character and reveal insight into his clouded past. In addition to its strong roots, the game increases the intensity of gameplay with a new ""style"" system, which adds an additional level of depth. Depending on preference, players can choose to use short-range, long-range, defensive or evasive play styles. Each system has its own range of gameplay features and players can choose to power up their favorite style for increased special attack abilities. [Capcom]"
Professor Layton and the Diabolical Box,84.0,85.0,['ds'],"(Also known as ""Professor Layton and Pandora's Box)  Professor Layton needs your help! Get your wits working with over 150 puzzles, and help unravel the mystery of the Elysian Box. [Nintendo]"
Europa Universalis IV: Wealth of Nations,84.0,84.0,['pc'],"The expansion allows you to create trade conflicts in secret, steal from your competitors with the use of privateers, use peace treaties to gain trade power and create a new trade capital to strengthen your grasp over trade. The age of exploration is brought to life in this epic game of trade, diplomacy, warfare and exploration by Paradox Development Studio, the Masters of Strategy. Europa Universalis IV gives you control of a nation to rule an empire that lasts through the ages."
Disciples II: Dark Prophecy,84.0,87.0,['pc'],"Dark Prophecy returns gamers to the magical realm of the Sacred Lands where four races - the Empire, the Mountain Clans, the Legions of the Damned and the Undead Hordes - continue the battle for the destiny of their Gods. A decade after the First Great War, the final prophecy continues to unfold. [Strategy First]"
Silent Hill 2: Restless Dreams,84.0,87.0,['xbox'],"James Sutherland's life is shattered when his young wife Mary suffers a tragic death. Three years later, a mysterious letter arrives from Mary, beckoning him to return to their sanctuary of memories, the dark realm of Silent Hill. Now James must go back to that special place to uncover the truth, unaware that the answers he seeks may require the ultimate sacrifice."
Frostpunk,84.0,84.0,['pc'],"In a completely frozen world, people develop steam-powered technology to oppose the overwhelming cold. Society in its current form becomes ineffective and it has to change in order to survive."
Bit.Trip Complete,84.0,81.0,['wii'],"All six BIT.TRIP games are transformed into 3D, morphing into a single entity called /BIT.TRIP SAGA/. Experience the crushing difficulty of the rhythmic galaxies and ride along the long journey with CommanderVideo as he completes his mission and returns...home."
Classic NES Series: Super Mario Bros.,84.0,85.0,['game-boy-advance'],"Classic NES Series: Super Mario Bros. takes you back to the very first battle between Mario and Bowser. Now on the Game Boy Advance, you can relive all the mushroom-eating, Koopa-stomping action from the original game. Always strive for the high score while jumping on top of flag poles, pipes, and bricks. This time, two players can alternate play with a single Game Pak or with GBAs linked by a Game Boy Advance Game Link Cable."
Age of Mythology: The Titans,84.0,88.0,['pc'],"Age of Mythology: The Titans Expansion adds a fourth mythology, the Atlanteans, to the existing Greek, Egyptian and Norse mythologies. A new single-player campaign will add yet another chapter to the franchise's expansive folklore along with the addition of new scenarios. Atlantean players will be able to call upon the might of the Titan gods (such as Atlas and Cronus) multiple times throughout the game, and may also upgrade human units to heroes. The expansion pack will introduce 12 new god powers, 15 new human units and 10 formidable myth units to the game. [Microsoft]"
SimCity 4,84.0,87.0,['pc'],"PLAY GOD - Sculpt mountains, gouge valleys, seed forests, and bring forth animals to create a world imagined only by you. Summon volcanoes, release tornadoes, and call down meteors and ligthening. PLAY MAYOR - Connect a massive region of SimCities, each sharing and competing for resources. Deploy emergency vehicles and join in the action as they battle blazes, mobs, and more. PLAY WITH YOUR SIMS - Place your Sims in your city to get the inside scoop on what life's really like around town. Feel the rhythm of the city: mellow cruising and commuter hell, noontime crowds and nighttime calm. [Electronic Arts]"
San Francisco Rush 2049,84.0,86.0,['dreamcast'],"San Francisco Rush 2049 - the original arcade racing game with 3 action-packed games in one! Race Mode - Scream through futuristic San Francisco tracks. Stunt Mode - Insane air and gravity-defying tricks. Battle Mode - Lock and load your way through 8 killer battle arenas. Loaded with other great features: 19 all-new tracks, 13 selectable cars, 1 - 4 player modes, all-new online competition, and no load time!"
Dead or Alive,84.0,85.0,['playstation'],"The fighting game  you've been waiting for...Purist fighting for purist fighting fans. No lightening bolts, no magic tricks, no weapons...Your survival is all in your own hands."
"Snipperclips Plus: Cut It Out, Together!",84.0,81.0,['switch'],"Partner up with friends or family to solve puzzles, including new comic book and toy box worlds, 3 new activities, and a new stamp mode. Plus, play the original levels in new shapes. If you're new to the game, you can purchase this expanded version at retail. Owners of the original version can purchase and download this additional content in Nintendo eShop on Nintendo Switch. Snip may need to cut Clip into a needle to pop balloons or maybe you’ll have to team up to form a squawking, egg-laying bird! Prove you're a cut above the rest in Blitz mode, where 2-4 players* can compete in a series of puzzlingly action-packed challenges. Make it a party with Party mode, where up to four players* can team up to solve fun puzzles. [Nintendo]"
Tails Of Iron,84.0,84.0,['xbox-series-x'],"Set in a grim land plagued by war, Tails of Iron is a hand-drawn RPG Adventure with punishingly brutal combat. As Redgi, heir to the Rat Throne, you must restore your broken Kingdom by banishing the merciless Frog Clan and their ferocious leader, Greenwart. As you explore the deceivingly charming world, you'll encounter a cast of unique companions, ready to aid you in your adventure. And you'll need all the help you can get, whether that's new meal recipes, blueprints to forge deadly weapons and armour, or even a land-chugging, armour-plated mole mobile! Overcome your fears. Rescue your brothers. Restore Your Kingdom. Your tail has begun. Master Brutal Combat: From frog zombies to gargantuan grubs - and everything in-between - the Kingdom is awash with danger. To overcome each perilous encounter, you'll need to study your opponent's attacks and react accordingly! Thankfully, there's a range of deadly abilities at your disposal, including parry bashes and fatal executions, not to mention ranged attacks with your nifty bow and arrow. Explore a Treacherous Kingdom: Fully accompanied by the deep, raspy narrations of Doug Cockle (voice of Geralt of Rivia from The Witcher), prepare to embark on an epic adventure across the mediaeval-fantasy Rat Kingdom. Complete side quests and faction hunts for some additional gold-on-the-side, or join forces with a sharp-eyed companion to help even the playing field. Customise your Attack: Adapt Redgi's combat style to the task at hand. Heavy armour may provide better protection but can you really afford to slow down your dodge-roll? And then there's the question of weapon; axes pack a punch, while spears are quick and nimble. Perhaps you'd prefer the all-round performance of a trusty broadsword?"
Etrian Odyssey IV: Legends of the Titan,84.0,83.0,['3ds'],"Etrian Odyssey IV: Legends of the Titan has players board their skyship and set out into the clouds in search of treasure, glory, and the answer to Tharsis' oldest mystery."
Black Mesa,84.0,89.0,['pc'],"Black Mesa is a re-envisioning of Valve Software's seminal game Half-Life. You will re-visit the inaugural role of Gordon Freeman and his memorable journey through the Black Mesa Research Facility. Expect detailed environments to explore, a huge cast of characters and experimental weaponry. All-new music, voice acting, choreography and added dialogue give way to a more expansive and immersive experience than ever before. [Valve]"
Rise of Nations: Rise of Legends,84.0,84.0,['pc'],"Rise of Nations: Rise of Legends evolves the franchise's trademark features such as borders, large-scale battles and city-building in innovative ways. Players are able to transform small villages into powerful civilizations and lead vast fantasy armies into strategic battles using formations, unit control and heroic abilities to destroy the enemy. The popular Conquer the World (CTW) Campaign returns in Rise of Nations: Rise of Legends with exciting updates. The new CTW Campaign guides players through a new world of heroes, monsters, loyalty and betrayal. Gamers follow a story through multiple campaigns with fascinating subplots and heroic characters. The campaigns immerse players in an ever-changing three-dimensional world with terrain and cities that evolve as civilizations grow. [Microsoft]"
FTL: Faster Than Light,84.0,84.0,['pc'],"You manage the Kestrel and its crew as you explore the galaxy. Strategic, real-time combat involves managing power between essential systems and choosing which enemy systems to target. Meanwhile, you control your crew to keep the ship functioning and fight off intruders. The combat is difficult but, being a ""roguelike-like"" game, frequent permadeath is at the core of the experience.

While exploring the galaxy you will encounter a variety of situations requiring decision making that can result in many outcomes. Since all events are randomly generated, each play-through will be significantly different."
Dragon Quest V: Hand of the Heavenly Bride,84.0,86.0,['ds'],"This entry in the Zenithia Trilogy follows a journey that transcends three generations. Travel alongside your father on his quest to see the world, grow to set forth on a journey of your own and face life-altering decisions as you continue your family’s legacy. [Square Enix]"
Xenoblade Chronicles X,84.0,91.0,['wii-u'],"Fight for survival while exploring the vast expanses of an unknown planet where anything you see is reachable in your weaponized mech, called a Skell. Customize a lethal skill set of combat and defensive skills, called Arts, to strengthen your strategies and defeat enemies efficiently. Attack your enemies from multiple directions using melee weapons, guns, and your greatest asset—your tactical mind."
Ace Combat 5: The Unsung War,84.0,89.0,['playstation-2'],"(Also known as ""Ace Combat 5: Squadron Leader"")  With more than 50 different licensed planes and an intense storyline extending over 30 missions, players will be put to the ultimate test, including air-to-air combat, air-to-ground fighting, air-to-sea assaults, rescue, recon and much more. Incorporating ultra-realistic beautifully rendered in-game graphics and cinematics along with unparalleled game play; ACE COMBAT 5 goes a step beyond the traditional air combat gaming experience. One of the exciting new features to the sequel includes Wingman Command, where players can issue directives to their wingmen mid-mission to carry out coordinated group attacks. Additionally, the in-game radio communications with the squadron and enemies adds to the realism and intensity of the dynamic battle sequences. In the game's premise, it is September 23, 2010 on distant Sand Island, a small island in the Ceres Ocean that divides the two superpowers, Osea and Yuktobania. An entire military base is on red alert--the 108th Tactical Fighter Squadron intercepted an unidentified aircraft and the entire squadron was decimated. You are a fighter pilot, part of the new squadron that's been called into action to protect your nation of Osea. Now, the story begins to unfold. [Namco]"
DEFCON: Everybody Dies,84.0,83.0,['pc'],"Inspired by the 1983 cult classic film, ""Wargames,"" DEFCON superbly evokes the tension, paranoia and suspicion of the Cold War era, playing on the fascinating aspects of psychological gameplay that occur during strategic nuclear warfare. You play a General hidden deep within an underground bunker. Your mission is to successfully exterminate your enemy's civilian population whilst saving your own. Points are awarded or lost depending on both the efficacy and thoroughness of your nuclear vendetta and the number of your own civilian deaths. In order to win you must wipe out the enemy population and simultaneously disable the enemy's ability to retaliate against you. This is an extremely difficult task since launching an attack on the enemy exposes the positions of your own Ground Silos, Subs and Bombers the moment they launch nuclear weapons, making you extremely vulnerable and exposed to a crushing counter-attack. Desperate attempts must be made to form fast, tactical alliances, alliances that may at any moment break-down to become the treacherous and most deadly of betrayals. Everyone looks to each other in a state of nervous suspense and paranoid accusation. In all-out nuclear Armageddon, everybody dies, everybody loses, you just have to make sure you lose the least! [Valve]"
Pinball FX 2: Marvel Pinball - Vengeance and Virtue,84.0,84.0,['xbox-360'],Vengeance and Virtue contains four new tables for Marvel Pinball.
NASCAR: Dirt to Daytona,84.0,88.0,['playstation-2'],"Dirt to Daytona challenges players in the ultimate NASCAR Career Mode. The only game to include 4 different NASCAR racing series. Racing to win is the key for drivers hoping to advance from small town dirt tracks to modified cars, to trucks and eventually the highly prized NASCAR Winston Cup cars. Learn the harsh realities of the racing world where losing can cost drivers not only points in the standings but loss of money from a sponsor. Dirt to DAYTONA also features Single Races, Season Championships, Beat the Heat, and Pro Trainer modes for all 4 authentic NASCAR racing series. [Infogrames]"
Tron 2.0,84.0,83.0,['pc'],"TRON 2.0 is the present-day sequel to the 1982 cult film classic that wasa landmark of computerized graphical ingenuity. TRON 2.0, is a story-driven, first-person action game that propels the player into an alternate universe inside a computer. As Jet Bradley (son of the original films hero Alan Bradley) you will combat digital opponents using guns, rods, grenades, missiles, and the iconic TRON disc. Combining the best of the genre with a truly innovative look and breakthrough game play, TRON 2.0 delivers an adventure unlike any other. It will take PC gaming to a new level with intense action, intense and deadly battles, and high-speed light cycle races. [Disney]"
NieR: Automata,84.0,86.0,['pc'],"The distant future

Invaders from another world attack without warning, unleashing a new type of threat: weapons known as machine lifeforms. In the face of this insurmountable threat, mankind is driven from Earth and takes refuge on the Moon.

The Council of Humanity organizes a resistance of android soldiers in an effort to take back their planet. To break the deadlock, the Resistance deploys a new unit of android infantry: YoRHa.

In the forsaken wasteland below, the war between the machines and the androids rages on. A war that is soon to unveil the long-forgotten truth of this world..."
Danmaku Unlimited 3,84.0,81.0,['switch'],"Inspired by classic Japanese shooting games, Danmaku Unlimited 3 is a lovingly crafted medley of the best aspects of Japanese bullet hell games, all in a polished, accessible package.

An old school shoot'em up? Why is it worth my time?
Bullet hell style mechanics is having a kind of renaissance with its inclusion in many hit indie games. However if players want to explore more into the world of Bullet Hell a lot of traditional titles can be hard to understand in its mechanics or just plain too difficult to get into as a newcomer.

Danmaku Unlimited 3 is designed to be intuitive and accessible to players unfamiliar with the genre, all the while without losing any of the intensity and flashiness that makes the genre so exciting to play.

Okay, so how does the game do that?
CORE A staple feature in Bullet Hells, only the very center of the player's craft, the core, is vulnerable to enemy fire.

GRAZING Get the core close to bullets to just barely ""graze"" it will power up the player's craft. Once fully charged it can unleash a powerful rampage that makes you feel like a total boss.

SPIRIT/GRAZE SYSTEM Shooting down enemies turns their shots into harmless ghost bullets that the player can safely touch while also powering up the plane.

All of this allows the game to be at a level of challenge that is manageable for a wide range of players without reducing the game into a bullet free turkey shoot.
I'm good at bullet hell shooters, won't I just breeze though the game then?
The game has two unique modes, GRAZE MODE features a differently tuned system (with conditions to trigger the ghost bullets) that offers a higher level of challenge comparable to the toughest traditional bullet hell titles.
Is there a story?
It is about a guardian, entrusted with Earth, rebelling against her overseers. Shakespeare it isn't, but you are here for the bullets and explosions right?
How is the music? A Shmup is nothing without good music!
Music is by BLANKFIELD from Japan, who does awesome remixes of Touhou and many other anime/game musics!
Anything else?

- The campaign features 5 stages each ending with an epic multi-stage boss fight.
- Up to 25 weapon combinations for players to unlock and experiment to find what works best for them.
- Unique rendering technique that procedurally animate sprites on the fly.
- TATE support for players that use vertical screens. Or if you like to play lying down on your sides, I'm not going to tell you how to live your life.

Okay I'm sold! (Or not, if so then thanks for making it down to here!)

TLDR List

- Authentically crafted Japanese style shoot'em up in High Definition
- Intuitively designed to be an accessible gateway to the world of Bullet Hell
- 5 handcrafted stages packed with dynamically rendered sprites
- Epic multi-phase boss battles with spellbinding bullet patterns
- Up to 25 unique weapon combinations
- Turn enemy attacks into your advantage with the SPIRIT/GRAZE system
- Music by the talented Japanese indie circle BLANKFIELD
    Multiple modes of difficulty that caters to players of all skill ranges"
Age of Empires II: Definitive Edition,84.0,88.0,['pc'],"Age of Empires II: Definitive Edition celebrates the 20th anniversary of one of the most popular strategy games ever with stunning 4K Ultra HD graphics, a new and fully remastered soundtrack, and brand-new content, “The Last Khans” with 3 new campaigns and 4 new civilizations."
Classic NES Series: The Legend of Zelda,84.0,85.0,['game-boy-advance'],"In this classic NES game, you'll embark on a quest to find the Triforce, slay Ganon, and save Princess Zelda. The Legend of Zelda comes to the Game Boy Advance, complete with all the dungeons, puzzles, and menacing enemies from the original game. As Link, you can brandish a variety of weapons, including swords, boomerangs, bombs, and arrows. Collect rupees to buy even more weapons and other special items. There are many secrets, hidden passages, and caves to be found in Hyrule--now you can see if you still have what it takes to find them."
Medieval: Total War - Viking Invasion,84.0,83.0,['pc'],"Medieval: Total War - Viking Invasion challenges players to control eight new factions, including the Vikings themselves, the Saxons, Scots, Irish, Welsh and Picts, and embark on a campaign to dominate the British Isles. With a wealth of new historical heroes, players can lead a range of new units into battle, including Viking Berserkers, Saxon Huscarles and Fyrdmen, while conducting sieges enhanced by the introduction of flaming arrows and boiling oil. Viking Invasion introduces new features that will be welcomed by fans of the franchise Players can now plan reinforcements and scout enemy formations before taking to the field from a new pre-battle screen. In addition, there will be new playable factions and a new heavy weapon in the shape of the fearsome Organ Gun. [Activision]"
Dance Dance Revolution Konamix,84.0,87.0,['playstation'],"The hottest dancing craze continues with a brand new sequel to Dance Dance Revolution. Straight from the arcades, step into the spotlight and put your skills to the test as you move to the groove. Get ready to dance the night away with all-new songs and game modes. Let the pulsating music and colorful graphics excite your senses while you get your dancin' fix with Dance Dance Revolution KONAMIX."
Street Fighter III: 3rd Strike,84.0,87.0,['dreamcast'],"This amazing fighter stars 18 brawlers from the STREET FIGHTER III universe and introduces the new Leap Attack. Plus, a new Grade Judge system evaluates player performance at the end of each match. Huge characters and an innovative Hit-Frame system team up with the return of the Super Arts Fighting Styles. Experience totally seamless animation in the newest chapter of the greatest arcade series ever!"
Guild Wars Nightfall,84.0,85.0,['pc'],"Guild Wars Nightfall continues the tradition of inviting players to immerse themselves in an epic storyline centered in a vibrant fantasy setting, build personalized characters, compete in head-to-head battles with players from around the world, and find adventure in missions and quests, in a Guild Wars game unlike any players have seen before. Two new professions are introduced in the game; the Dervish, a scythe-wielding holy warrior, and the Paragon, guardian angel of the Elonian people. [NCSoft]"
The Binding of Isaac,84.0,83.0,['pc'],Isaac is a roguelike shooter based on the dungeon structure of Zelda (nes). At its core it controls like Smash TV / Robotron in a randomly generated semi RPG world filled with powerups items and special abilities.
Warhawk,84.0,83.0,['playstation-3'],"[Dowloadable Game]  In Warhawk, players experience the thrill of white-knuckle aerial combat with hundreds of enemy fighters, bone-crunching armored assaults and high-intensity infantry combat in a massive, all-out war fought both on the ground and in the skies. During gameplay, players are tasked with protecting their homeland from the invading Chernovan armada. By doing so, players take command of the most advanced war machine in the fleet, the Warhawk, capable of aerobatic dogfights at high speeds or hovering over ground troops providing tactical support. Players continue the battle on foot with an arsenal of weaponry including pistols, rifles, grenades and more. Furthermore, players can gain access to an array of ground vehicles and lay waste with powerful weapons mounted on jeeps, tanks and specialty transports. Fight on Foot, in Ground Vehicles, or in the Sky – Next-gen multimodal design throws players into a deep gameplay experience. Fight in the war as a foot soldier, vehicle driver or ace pilot - whenever you want. Experience an Expansive Online Community – Players can join in epic multi-modal 32-person online battles, constantly evolving with downloadable content and a variety of online game modes. [SCEA]"
Valkyrie Profile 2: Silmeria,84.0,89.0,['playstation-2'],"Hundreds of years before Lenneth's tale, another saga lies concealed by the gods. The valkyrie Silmeria once served Odin loyally, but after an incident ignited a conflict between them, Odin forcefully reincarnated her as a human. The human soul that would carry her spirit was that of Alicia, Princess of Dipan. Ordinarily, Silmeria’s consciousness would have been sealed, her spirit dormant until she was next summoned... However, the forced transmigration causes Silmeria's spirit to awaken within Alicia, leaving two souls to inhabit a single body. The spirit that should have been sealed has awakened—a situation Odin will not ignore for long. This installment introduces the new Photon Action System to the classic side-scrolling action format found in the original. Projecting photons grants players more freedom to explore and expands the action, resulting in challenging puzzles with clever solutions. Add to that ""sealstones"" that affect the laws of nature in dungeons, launching strategy to new heights. The unique battle system of the previous game has evolved into the Advanced Tactical Combination Battle System. [Square Enix]"
Zero Escape: Virtue's Last Reward,84.0,88.0,['playstation-vita'],"Zero Escape: Virtue's Last Reward has players taking on the Nonary Game again, as it's back and more deadly than ever."
Sid Meier's Civilization IV: Warlords,84.0,81.0,['pc'],"An all-new expansion pack, Warlords pays homage to some of history's greatest military leaders, delivering six new scenarios, giving players the chance to change the course of history with the help of their new powerful ""warlord"" unit. The expansion pack is loaded with new civilizations, new leaders and more units, resources and wonders that can be used in both single and multiplayer games. [2K Games]"
One Finger Death Punch 2,83.0,81.0,['pc'],"The world's fastest brawler is back. Experience cinematic kung-fu in the most epic stickman fighter ever made. Staying true to the original, you play with only two buttons. Every press matters, do not button mash!"
Hearts of Iron II,83.0,83.0,['pc'],"Hearts of Iron II is the sequel to the most appreciated World War II PC game of true Grand Strategic scope! As in its forbear, the map spans the entire world and allows you to play one of over 130 countries during the years of World War II. Hearts of Iron II is a dream come true for every armchair general and forces the player to choose sides when democracy, communism and fascism clash in the battles that changed history. [Paradox]"
Ring Fit Adventure,83.0,86.0,['switch'],"Traverse grass-swept plains by jogging in place, attack enemies with overhead shoulder presses, and refill your health meter by striking some yoga poses. Two new accessories, the Ring-Con™ and Leg Strap, measure your real-world actions and help turn them into in-game movements. With additional minigames and customizable workout routines, Ring Fit Adventure is great escape for players of all skill levels and schedules. In Adventure mode, defeat enemies with attacks based on real-world exercises as you traverse more than 100 levels in over 20 worlds. As you work through each level (and possibly work up a sweat), you’ll earn experience points. Between fights, you may encounter some unusual methods of transportation such as squat-powered launch pads. Then, pass around the Ring-Con and leg strap accessories and select from a few minigames: break boxes with gusts of air, craft pottery using squats, and more."
Sackboy: A Big Adventure,83.0,83.0,['playstation-4'],"Perilous platforming experience - Explore here, there and everywhere as you utilize sackboy's cool, diverse move-set to face a huge variety of thrilling challenges, fierce enemies and startling surprises. Re-stuffed. Re-stitched. Re-zipped - sack boy returns to the big time stuffed with fresh moves and game-changing gadgets in an awe-inspiring and downright fun 3D adventure in this new, but familiar world."
Crush,83.0,82.0,['psp'],"Unique to its genre, Crush introduces a valuable new puzzle gaming experience that is wholly suited to the PSP system. Set within a complex, hypnotic 3D world, players use the game's unique crush mechanic to ""crush"" the environment and transform it into a more simplified 2D platformer. Once flattened, players utilize the 2D space to move to new areas to solve otherwise impossible challenges, and unlock secret items that were previously unobtainable in the 3D environment. Players then ""uncrush"" the 2D environment and return to the 3D world. Designed for a wide and varied audience, Crush tells the story of Dan, a man with a lifetime of unresolved issues and bottled up emotions that has turned him into a nervous insomniac who is too tired to turn his life around. Desperate for a cure, he turns to hypnosis. It is during this state that he is given one last chance to sort through the wreckage of his past, before he loses the last thing he has – his sanity. [Sega]"
Riven: The Sequel to Myst,83.0,88.0,['pc'],Enter a deceptively beautiful world torn apart by age-old conflicts...where secrets lie hidden at every turn...and nothing is as it seems. You must search. You must explore. You must summon every spark of intellect and intuition. Only then will you learn the truth and this troubled land and its inhabitants. You must let Riven become your world - before an entire world is lost. [Red Orb]
Guardian Heroes,83.0,81.0,['xbox-360'],"Much more than just a beat 'em up, Guardian Heroes is the perfect blend of action and adventure. Hack, slash and burn through hordes of androids, zombie warriors and goblins as you select your route through over 30 gripping levels, or battle it out in frantic 6-player mode with over 45 characters to choose from!"
Outer Wilds: Echoes of the Eye,83.0,86.0,['pc'],"A strange satellite photo that can’t be explained. A new museum exhibit that marks the trailhead for one last journey into the wilds. Should you pull at the thread and unravel the solar system’s deepest secret, or is some knowledge better left in the dark? Welcome to the Space Program! You're the newest recruit of Outer Wilds Ventures, a fledgling space program searching for answers in a strange, constantly evolving solar system. What lurks in the heart of the ominous Dark Bramble? Who built the alien ruins on the Moon? Can the endless time loop be stopped? Answers await you in the most dangerous reaches of space."
